granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
isoweek,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,2022-05-19
isoweek,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,2022-05-19
isoweek,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,0,2022-05-19
isoweek,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,4,2022-05-19
isoweek,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,9,2022-05-19
isoweek,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,23,2022-05-19
isoweek,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,44,2022-05-19
isoweek,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,60,2022-05-19
isoweek,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,46,2022-05-19
isoweek,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,23,2022-05-19
isoweek,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,11,2022-05-19
isoweek,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,11,2022-05-19
isoweek,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,5,2022-05-19
isoweek,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,6,2022-05-19
isoweek,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-21,5,2022-05-19
isoweek,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-28,3,2022-05-19
isoweek,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-05,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-12,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-19,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-26,0,2022-05-19
isoweek,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-08-02,2,2022-05-19
isoweek,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-09,0,2022-05-19
isoweek,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-16,3,2022-05-19
isoweek,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-23,1,2022-05-19
isoweek,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-30,0,2022-05-19
