granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing,tag_outcome
total,nation,norge,2020,90+,female,1900,1,1900-01,1899/1900,24,1900-01-01,219,2022-01-14,death
total,nation,norge,2020,90+,male,1900,1,1900-01,1899/1900,24,1900-01-01,128,2022-01-14,death
total,nation,norge,2020,0-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,7,2022-01-14,death
total,nation,norge,2020,0-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,9,2022-01-14,death
total,nation,norge,2020,40-49,female,1900,1,1900-01,1899/1900,24,1900-01-01,7,2022-01-14,death
total,nation,norge,2020,40-49,male,1900,1,1900-01,1899/1900,24,1900-01-01,13,2022-01-14,death
total,nation,norge,2020,50-59,female,1900,1,1900-01,1899/1900,24,1900-01-01,12,2022-01-14,death
total,nation,norge,2020,50-59,male,1900,1,1900-01,1899/1900,24,1900-01-01,45,2022-01-14,death
total,nation,norge,2020,60-69,female,1900,1,1900-01,1899/1900,24,1900-01-01,46,2022-01-14,death
total,nation,norge,2020,60-69,male,1900,1,1900-01,1899/1900,24,1900-01-01,102,2022-01-14,death
total,nation,norge,2020,70-79,female,1900,1,1900-01,1899/1900,24,1900-01-01,123,2022-01-14,death
total,nation,norge,2020,70-79,male,1900,1,1900-01,1899/1900,24,1900-01-01,204,2022-01-14,death
total,nation,norge,2020,80-89,female,1900,1,1900-01,1899/1900,24,1900-01-01,201,2022-01-14,death
total,nation,norge,2020,80-89,male,1900,1,1900-01,1899/1900,24,1900-01-01,265,2022-01-14,death
