granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,0,0
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,0,0
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,0,0
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,0,0
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,0,1
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,0,0
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,0,1
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,0,3
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,3,7
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,2,5
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,1,3
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,1,7
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,1,10
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,3,8
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,6,17
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,4,11
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,5,22
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,7,31
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,10,29
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,6,23
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,8,27
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,11,37
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,14,41
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,16,56
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,10,43
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,12,35
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,7,31
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,6,24
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,9,33
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,7,38
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,4,27
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,4,37
