granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,pop,pr100000,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5749,693494,828.990589680661,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,915,479892,190.667900277562,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,364,265238,137.235237786441,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,263,241235,109.022322631459,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4796,1241165,386.411154036732,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,847,371385,228.065215342569,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,564,419396,134.479108050625,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,604,307231,196.594744670948,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2440,636531,383.327756228683,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,834,468702,177.938220873817,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,479,243311,196.86738371878,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5748,693494,828.846392326394,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37,14811,249.814327189251,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,303,143574,211.040996280664,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,128,37357,342.639933613513,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,108,79537,135.78586066862,Sandnes
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5,3280,152.439024390244,Sokndal
