location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name
county03,1900-01-01,16672,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,693494,2404.05829033849,Oslo
county11,1900-01-01,3392,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,479892,706.825702449718,Rogaland
county15,1900-01-01,1171,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265238,441.490284197589,Møre og Romsdal
county18,1900-01-01,899,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241235,372.665657968371,Nordland
county30,1900-01-01,19605,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1241165,1579.56436090286,Viken
county34,1900-01-01,3209,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371385,864.06289968631,Innlandet
county38,1900-01-01,2970,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,419396,708.161260479356,Vestfold og Telemark
county42,1900-01-01,1427,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,307231,464.471358684508,Agder
county46,1900-01-01,6125,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,636531,962.246929057658,Vestland
county50,1900-01-01,3401,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,468702,725.620970254021,Trøndelag
county54,1900-01-01,1228,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,243311,504.703856381339,Troms og Finnmark
municip0301,1900-01-01,16670,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,693494,2403.76989562996,Oslo
municip1101,1900-01-01,93,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14811,627.911687259469,Eigersund
municip1103,1900-01-01,1327,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,143574,924.262053017956,Stavanger
municip1106,1900-01-01,252,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37357,674.572369301604,Haugesund
municip1108,1900-01-01,528,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,79537,663.841985491029,Sandnes
municip1111,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3280,335.365853658537,Sokndal
municip1112,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3202,312.304809494066,Lund
municip1114,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2787,394.689630426982,Bjerkreim
municip1119,1900-01-01,78,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,18991,410.720867779474,Hå
municip1120,1900-01-01,140,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19588,714.723299979579,Klepp
municip1121,1900-01-01,99,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,18916,523.366462254176,Time
municip1122,1900-01-01,90,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12002,749.875020829862,Gjesdal
municip1124,1900-01-01,245,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27153,902.294405774684,Sola
municip1127,1900-01-01,68,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11221,606.006594777649,Randaberg
municip1130,1900-01-01,76,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12968,586.057988895743,Strand
municip1133,1900-01-01,18,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2574,699.300699300699,Hjelmeland
municip1134,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3804,262.881177707676,Suldal
municip1135,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4595,152.33949945593,Sauda
municip1144,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,517,0,Kvitsøy
municip1145,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,852,117.370892018779,Bokn
municip1146,1900-01-01,53,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11065,478.987799367375,Tysvær
municip1149,1900-01-01,177,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42186,419.57047361684,Karmøy
municip1151,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,198,0,Utsira
municip1160,1900-01-01,95,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8714,1090.19967867799,Vindafjord
municip1505,1900-01-01,147,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24179,607.965589974772,Kristiansund
municip1506,1900-01-01,159,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31967,497.387931304157,Molde
municip1507,1900-01-01,230,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,66258,347.12789399016,Ålesund
municip1511,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3117,417.067693294835,Vanylven
municip1514,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2461,934.579439252336,Sande
municip1515,1900-01-01,17,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8900,191.011235955056,Herøy
municip1516,1900-01-01,80,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8571,933.38000233345,Ulstein
municip1517,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5175,212.56038647343,Hareid
municip1520,1900-01-01,31,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10825,286.374133949192,Ørsta
municip1525,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4523,265.310634534601,Stranda
municip1528,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7625,65.5737704918033,Sykkylven
municip1531,1900-01-01,116,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9310,1245.97207303974,Sula
municip1532,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8462,224.533207279603,Giske
municip1535,1900-01-01,110,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6532,1684.0171463564,Vestnes
municip1539,1900-01-01,22,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7468,294.590251740761,Rauma
municip1547,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3509,113.992590481619,Aukra
municip1554,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5788,172.771250863856,Averøy
municip1557,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2629,304.298212248003,Gjemnes
municip1560,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3025,66.1157024793388,Tingvoll
municip1563,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7036,113.700966458215,Sunndal
municip1566,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5920,219.594594594595,Surnadal
municip1573,1900-01-01,6,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2150,279.06976744186,Smøla
municip1576,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3507,541.773595665811,Aure
municip1577,1900-01-01,59,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10473,563.353384894491,Volda
municip1578,1900-01-01,6,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2549,235.386426049431,Fjord
municip1579,1900-01-01,35,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13279,263.574064312072,Hustadvika
municip1804,1900-01-01,214,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,52357,408.73235670493,Bodø
municip1806,1900-01-01,37,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21845,169.37514305333,Narvik
municip1811,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1426,70.1262272089762,Bindal
municip1812,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1975,253.164556962025,Sømna
municip1813,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7917,138.941518251863,Brønnøy
municip1815,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1200,333.333333333333,Vega
municip1816,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,462,0,Vevelstad
municip1818,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1777,562.74620146314,Herøy
municip1820,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7447,147.710487444609,Alstahaug
municip1822,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2294,217.95989537925,Leirfjord
municip1824,1900-01-01,20,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13278,150.625094140684,Vefsn
municip1825,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1482,337.381916329285,Grane
municip1826,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1297,0,Hattfjelldal
municip1827,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1371,802.334062727936,Dønna
municip1828,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1761,113.571834185122,Nesna
municip1832,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4454,67.3551863493489,Hemnes
municip1833,1900-01-01,225,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,26184,859.303391384051,Rana
municip1834,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1890,264.550264550265,Lurøy
municip1835,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,435,1149.42528735632,Træna
municip1836,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1213,1566.36438582028,Rødøy
municip1837,1900-01-01,15,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6288,238.549618320611,Meløy
municip1838,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1950,51.2820512820513,Gildeskål
municip1839,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1017,196.656833824975,Beiarn
municip1840,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4671,107.043459644616,Saltdal
municip1841,1900-01-01,57,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9739,585.275695656638,Fauske
municip1845,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1926,363.447559709242,Sørfold
municip1848,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2608,153.374233128834,Steigen
municip1851,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2034,196.656833824975,Lødingen
municip1853,1900-01-01,1,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1348,74.1839762611276,Evenes
municip1856,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,498,0,Røst
municip1857,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,728,0,Værøy
municip1859,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1272,786.163522012579,Flakstad
municip1860,1900-01-01,47,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11433,411.090702352838,Vestvågøy
municip1865,1900-01-01,9,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9608,93.6719400499584,Vågan
municip1866,1900-01-01,40,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8061,496.216350328743,Hadsel
municip1867,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2569,194.628260023355,Bø
municip1868,1900-01-01,20,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4410,453.514739229025,Øksnes
municip1870,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10566,179.82207079311,Sortland
municip1871,1900-01-01,22,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4663,471.799270855672,Andøy
municip1874,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1015,1083.74384236453,Moskenes
municip1875,1900-01-01,26,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2766,939.98553868402,Hamarøy
municip3001,1900-01-01,286,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31373,911.611895579001,Halden
municip3002,1900-01-01,960,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,49273,1948.32869928764,Moss
municip3003,1900-01-01,1303,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,56732,2296.76373122753,Sarpsborg
municip3004,1900-01-01,1903,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,82385,2309.88650846635,Fredrikstad
municip3005,1900-01-01,2299,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,101386,2267.57145957036,Drammen
municip3006,1900-01-01,470,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27723,1695.34321682358,Kongsberg
municip3007,1900-01-01,276,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,30641,900.753891844261,Ringerike
municip3011,1900-01-01,45,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4668,964.01028277635,Hvaler
municip3012,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1325,301.88679245283,Aremark
