location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,95322,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,13675.8439620665,Oslo,2021-12-29
county11,1900-01-01,23703,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,4911.06299661242,Rogaland,2021-12-29
county15,1900-01-01,8666,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,3263.48928991052,Møre og Romsdal,2021-12-29
county18,1900-01-01,7249,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,3016.08105015707,Nordland,2021-12-29
county30,1900-01-01,118330,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,9448.38004956946,Viken,2021-12-29
county34,1900-01-01,15206,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,4103.04287876785,Innlandet,2021-12-29
county38,1900-01-01,23566,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,5585.92212988466,Vestfold og Telemark,2021-12-29
county42,1900-01-01,17090,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,5533.55588438139,Agder,2021-12-29
county46,1900-01-01,32698,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,5118.49172146814,Vestland,2021-12-29
county50,1900-01-01,21469,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,4556.97438466306,Trøndelag,2021-12-29
county54,1900-01-01,12477,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,5152.20838426217,Troms og Finnmark,2021-12-29
municip0301,1900-01-01,95310,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,13674.1223224918,Oslo,2021-12-29
municip1101,1900-01-01,408,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,2759.18036112802,Eigersund,2021-12-29
municip1103,1900-01-01,8237,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,5714.30553532158,Stavanger,2021-12-29
municip1106,1900-01-01,2502,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,6703.64118639981,Haugesund,2021-12-29
municip1108,1900-01-01,3853,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,4789.31013051585,Sandnes,2021-12-29
municip1111,1900-01-01,119,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,3653.66902057108,Sokndal,2021-12-29
municip1112,1900-01-01,123,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3174,3875.23629489603,Lund,2021-12-29
municip1114,1900-01-01,66,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2791,2364.74381941956,Bjerkreim,2021-12-29
municip1119,1900-01-01,789,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19120,4126.5690376569,Hå,2021-12-29
municip1120,1900-01-01,742,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19848,3738.41193067312,Klepp,2021-12-29
municip1121,1900-01-01,683,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19106,3574.7932586622,Time,2021-12-29
municip1122,1900-01-01,531,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12064,4401.52519893899,Gjesdal,2021-12-29
municip1124,1900-01-01,1313,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27457,4782.02279928616,Sola,2021-12-29
municip1127,1900-01-01,455,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11315,4021.21078214759,Randaberg,2021-12-29
municip1130,1900-01-01,250,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13070,1912.77735271614,Strand,2021-12-29
