location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,140666,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,20181.3460352075,Oslo,2022-01-21
county11,1900-01-01,39411,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,8165.62898196397,Rogaland,2022-01-21
county15,1900-01-01,13058,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,4917.45247491941,Møre og Romsdal,2022-01-21
county18,1900-01-01,11461,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,4768.56185899436,Nordland,2022-01-21
county30,1900-01-01,178228,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,14231.098449038,Viken,2022-01-21
county34,1900-01-01,24828,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,6699.3521369228,Innlandet,2022-01-21
county38,1900-01-01,37965,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,8998.96179500429,Vestfold og Telemark,2022-01-21
county42,1900-01-01,28516,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,9233.17025155176,Agder,2022-01-21
county46,1900-01-01,47150,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,7380.78428855658,Vestland,2022-01-21
county50,1900-01-01,36407,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,7727.68952547525,Trøndelag,2022-01-21
county54,1900-01-01,16659,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,6879.10871791484,Troms og Finnmark,2022-01-21
municip0301,1900-01-01,140654,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,20179.6243956328,Oslo,2022-01-21
municip1101,1900-01-01,733,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,4957.05687428146,Eigersund,2022-01-21
municip1103,1900-01-01,13378,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,9280.8036240782,Stavanger,2022-01-21
municip1106,1900-01-01,3607,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,9664.28207807518,Haugesund,2022-01-21
municip1108,1900-01-01,6986,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,8683.65444375389,Sandnes,2022-01-21
municip1111,1900-01-01,304,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,9333.74270801351,Sokndal,2022-01-21
municip1112,1900-01-01,195,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3174,6143.66729678639,Lund,2022-01-21
municip1114,1900-01-01,124,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2791,4442.85202436403,Bjerkreim,2022-01-21
municip1119,1900-01-01,1354,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19120,7081.589958159,Hå,2022-01-21
municip1120,1900-01-01,1472,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19848,7416.36436920597,Klepp,2022-01-21
municip1121,1900-01-01,1380,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19106,7222.8619281901,Time,2022-01-21
municip1122,1900-01-01,999,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12064,8280.83554376658,Gjesdal,2022-01-21
municip1124,1900-01-01,2298,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27457,8369.45041337364,Sola,2022-01-21
municip1127,1900-01-01,963,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11315,8510.82633672117,Randaberg,2022-01-21
municip1130,1900-01-01,499,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13070,3817.90359602142,Strand,2022-01-21
municip1133,1900-01-01,81,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2580,3139.53488372093,Hjelmeland,2022-01-21
municip1134,1900-01-01,167,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3809,4384.35284851667,Suldal,2022-01-21
