granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,1
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,3
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,2
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,9
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,6
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,10
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,12
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,31
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,32
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,33
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,25
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,20
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,64
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,245
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,242
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,175
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,208
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,146
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,100
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,101
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,178
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,175
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,213
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,240
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,309
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,174
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,149
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,298
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,312
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,291
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,297
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,262
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,180
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,107
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,264
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,209
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,201
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,199
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,165
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,87
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,71
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,158
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,135
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,106
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,103
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,68
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,108
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,76
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,77
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,122
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,104
