granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,0,Oslo
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0,Oslo
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,2,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,1,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,4,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,3,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,5,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,2,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,2,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,10,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,4,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,13,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,45,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,70,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,45,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,49,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,25,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,22,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,20,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,30,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,42,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,47,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,49,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,90,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,53,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,55,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,75,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,94,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,86,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,108,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,97,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,53,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,40,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,80,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,75,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,68,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,78,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,61,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,36,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,27,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,49,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,53,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,42,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,49,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,30,Oslo
