granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,pop,pr100000,location_name
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,2,693494,0.288394708533888,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,1,693494,0.144197354266944,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,3,693494,0.432592062800832,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,2,693494,0.288394708533888,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,2,693494,0.288394708533888,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,10,693494,1.44197354266944,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,13,693494,1.87456560547027,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,45,693494,6.48888094201248,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,70,693494,10.0938147986861,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,45,693494,6.48888094201248,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,49,693494,7.06567035908025,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,25,693494,3.6049338566736,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,22,693494,3.17234179387277,Oslo
day,county,county03,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,20,693494,2.88394708533888,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,31,693494,4.47011798227526,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,41,693494,5.9120915249447,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,48,693494,6.92147300481331,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,49,693494,7.06567035908025,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,90,693494,12.977761884025,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,53,693494,7.64245977614803,Oslo
day,county,county03,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,55,693494,7.93085448468192,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,75,693494,10.8148015700208,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,94,693494,13.5545513010927,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,86,693494,12.4009724669572,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,108,693494,15.5733142608299,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,97,693494,13.9871433638936,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,53,693494,7.64245977614803,Oslo
day,county,county03,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,40,693494,5.76789417067776,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,80,693494,11.5357883413555,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,75,693494,10.8148015700208,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,68,693494,9.80542009015219,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,78,693494,11.2473936328216,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,61,693494,8.79603861028358,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,36,693494,5.19110475360998,Oslo
day,county,county03,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,27,693494,3.89332856520749,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,49,693494,7.06567035908025,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,53,693494,7.64245977614803,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,42,693494,6.05628887921164,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,49,693494,7.06567035908025,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,30,693494,4.32592062800832,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,37,693494,5.33530210787693,Oslo
day,county,county03,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,33,693494,4.75851269080915,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,32,693494,4.61431533654221,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,41,693494,5.9120915249447,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,44,693494,6.34468358774553,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,24,693494,3.46073650240665,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,37,693494,5.33530210787693,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,17,693494,2.45135502253805,Oslo
day,county,county03,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,26,693494,3.74913121094054,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,37,693494,5.33530210787693,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,30,693494,4.32592062800832,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,36,693494,5.19110475360998,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,13,693494,1.87456560547027,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,15,693494,2.16296031400416,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,9,693494,1.2977761884025,Oslo
day,county,county03,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,19,693494,2.73974973107193,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,18,693494,2.59555237680499,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,19,693494,2.73974973107193,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,12,693494,1.73036825120333,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,13,693494,1.87456560547027,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,22,693494,3.17234179387277,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,8,693494,1.15357883413555,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,22,693494,3.17234179387277,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,16,693494,2.3071576682711,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,18,693494,2.59555237680499,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,14,693494,2.01876295973721,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,11,693494,1.58617089693638,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,17,693494,2.45135502253805,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,7,693494,1.00938147986861,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,9,693494,1.2977761884025,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,3,693494,0.432592062800832,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,11,693494,1.58617089693638,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,11,693494,1.58617089693638,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,3,693494,0.432592062800832,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,2,693494,0.288394708533888,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,3,693494,0.432592062800832,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,693494,0,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,2,693494,0.288394708533888,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,24,693494,3.46073650240665,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-04,15,693494,2.16296031400416,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-05,21,693494,3.02814443960582,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-06,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,8,693494,1.15357883413555,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-08,5,693494,0.72098677133472,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-09,8,693494,1.15357883413555,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-10,13,693494,1.87456560547027,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-11,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-12,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-13,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,6,693494,0.865184125601664,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-15,7,693494,1.00938147986861,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-16,23,693494,3.31653914813971,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-17,4,693494,0.576789417067776,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-18,7,693494,1.00938147986861,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-19,7,693494,1.00938147986861,Oslo
day,county,county03,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-20,5,693494,0.72098677133472,Oslo
