location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,2020-02-18,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-19,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-20,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-21,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-22,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-23,0,day,county,2020,total,total,2020-08,2019/2020,2020,8,31,693494,0,Oslo,2022-03-01
county03,2020-02-24,0,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0,Oslo,2022-03-01
county03,2020-02-25,0,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0,Oslo,2022-03-01
county03,2020-02-26,2,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0.288394708533888,Oslo,2022-03-01
county03,2020-02-27,1,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0.144197354266944,Oslo,2022-03-01
county03,2020-02-28,0,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0,Oslo,2022-03-01
county03,2020-02-29,4,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0.576789417067776,Oslo,2022-03-01
county03,2020-03-01,0,day,county,2020,total,total,2020-09,2019/2020,2020,9,32,693494,0,Oslo,2022-03-01
county03,2020-03-02,3,day,county,2020,total,total,2020-10,2019/2020,2020,10,33,693494,0.432592062800832,Oslo,2022-03-01
county03,2020-03-03,5,day,county,2020,total,total,2020-10,2019/2020,2020,10,33,693494,0.72098677133472,Oslo,2022-03-01
county03,2020-03-04,2,day,county,2020,total,total,2020-10,2019/2020,2020,10,33,693494,0.288394708533888,Oslo,2022-03-01
county03,2020-03-05,2,day,county,2020,total,total,2020-10,2019/2020,2020,10,33,693494,0.288394708533888,Oslo,2022-03-01
county03,2020-03-06,10,day,county,2020,total,total,2020-10,2019/2020,2020,10,33,693494,1.44197354266944,Oslo,2022-03-01
