granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n
week,nation,norge,2020,0-9,female,2020,8,2020-08,2019/2020,31,2020-02-23,0
week,nation,norge,2020,0-9,female,2020,9,2020-09,2019/2020,32,2020-03-01,0
week,nation,norge,2020,0-9,female,2020,10,2020-10,2019/2020,33,2020-03-08,4
week,nation,norge,2020,0-9,female,2020,11,2020-11,2019/2020,34,2020-03-15,3
week,nation,norge,2020,0-9,female,2020,12,2020-12,2019/2020,35,2020-03-22,7
week,nation,norge,2020,0-9,female,2020,13,2020-13,2019/2020,36,2020-03-29,13
week,nation,norge,2020,0-9,female,2020,14,2020-14,2019/2020,37,2020-04-05,5
week,nation,norge,2020,0-9,female,2020,15,2020-15,2019/2020,38,2020-04-12,8
week,nation,norge,2020,0-9,female,2020,16,2020-16,2019/2020,39,2020-04-19,7
week,nation,norge,2020,0-9,female,2020,17,2020-17,2019/2020,40,2020-04-26,8
week,nation,norge,2020,0-9,female,2020,18,2020-18,2019/2020,41,2020-05-03,9
week,nation,norge,2020,0-9,female,2020,19,2020-19,2019/2020,42,2020-05-10,6
week,nation,norge,2020,0-9,female,2020,20,2020-20,2019/2020,43,2020-05-17,6
week,nation,norge,2020,0-9,female,2020,21,2020-21,2019/2020,44,2020-05-24,8
week,nation,norge,2020,0-9,female,2020,22,2020-22,2019/2020,45,2020-05-31,0
week,nation,norge,2020,0-9,female,2020,23,2020-23,2019/2020,46,2020-06-07,4
week,nation,norge,2020,0-9,female,2020,24,2020-24,2019/2020,47,2020-06-14,1
week,nation,norge,2020,0-9,female,2020,25,2020-25,2019/2020,48,2020-06-21,4
week,nation,norge,2020,0-9,female,2020,26,2020-26,2019/2020,49,2020-06-28,3
week,nation,norge,2020,0-9,female,2020,27,2020-27,2019/2020,50,2020-07-05,3
week,nation,norge,2020,0-9,female,2020,28,2020-28,2019/2020,51,2020-07-12,0
week,nation,norge,2020,0-9,female,2020,29,2020-29,2019/2020,52,2020-07-19,2
week,nation,norge,2020,0-9,female,2020,30,2020-30,2020/2021,1,2020-07-26,3
week,nation,norge,2020,0-9,female,2020,31,2020-31,2020/2021,2,2020-08-02,3
week,nation,norge,2020,0-9,female,2020,32,2020-32,2020/2021,3,2020-08-09,5
week,nation,norge,2020,0-9,female,2020,33,2020-33,2020/2021,4,2020-08-16,10
week,nation,norge,2020,0-9,female,2020,34,2020-34,2020/2021,5,2020-08-23,10
week,nation,norge,2020,0-9,female,2020,35,2020-35,2020/2021,6,2020-08-30,11
week,nation,norge,2020,0-9,female,2020,36,2020-36,2020/2021,7,2020-09-06,15
week,nation,norge,2020,0-9,female,2020,37,2020-37,2020/2021,8,2020-09-13,18
week,nation,norge,2020,0-9,female,2020,38,2020-38,2020/2021,9,2020-09-20,12
week,nation,norge,2020,0-9,female,2020,39,2020-39,2020/2021,10,2020-09-27,15
week,nation,norge,2020,0-9,female,2020,40,2020-40,2020/2021,11,2020-10-04,14
week,nation,norge,2020,0-9,female,2020,41,2020-41,2020/2021,12,2020-10-11,8
week,nation,norge,2020,0-9,female,2020,42,2020-42,2020/2021,13,2020-10-18,16
week,nation,norge,2020,0-9,female,2020,43,2020-43,2020/2021,14,2020-10-25,26
week,nation,norge,2020,0-9,female,2020,44,2020-44,2020/2021,15,2020-11-01,74
week,nation,norge,2020,0-9,female,2020,45,2020-45,2020/2021,16,2020-11-08,100
week,nation,norge,2020,0-9,female,2020,46,2020-46,2020/2021,17,2020-11-15,122
week,nation,norge,2020,0-9,female,2020,47,2020-47,2020/2021,18,2020-11-22,106
week,nation,norge,2020,0-9,female,2020,48,2020-48,2020/2021,19,2020-11-29,96
week,nation,norge,2020,0-9,female,2020,49,2020-49,2020/2021,20,2020-12-06,92
week,nation,norge,2020,0-9,female,2020,50,2020-50,2020/2021,21,2020-12-13,114
week,nation,norge,2020,0-9,female,2020,51,2020-51,2020/2021,22,2020-12-20,104
week,nation,norge,2020,0-9,female,2020,52,2020-52,2020/2021,23,2020-12-27,93
week,nation,norge,2020,0-9,female,2020,53,2020-53,2020/2021,23.5,2021-01-03,129
week,nation,norge,2020,0-9,female,2021,1,2021-01,2020/2021,24,2021-01-10,133
week,nation,norge,2020,0-9,male,2020,8,2020-08,2019/2020,31,2020-02-23,0
week,nation,norge,2020,0-9,male,2020,9,2020-09,2019/2020,32,2020-03-01,0
week,nation,norge,2020,0-9,male,2020,10,2020-10,2019/2020,33,2020-03-08,3
week,nation,norge,2020,0-9,male,2020,11,2020-11,2019/2020,34,2020-03-15,6
week,nation,norge,2020,0-9,male,2020,12,2020-12,2019/2020,35,2020-03-22,4
week,nation,norge,2020,0-9,male,2020,13,2020-13,2019/2020,36,2020-03-29,6
week,nation,norge,2020,0-9,male,2020,14,2020-14,2019/2020,37,2020-04-05,9
week,nation,norge,2020,0-9,male,2020,15,2020-15,2019/2020,38,2020-04-12,7
week,nation,norge,2020,0-9,male,2020,16,2020-16,2019/2020,39,2020-04-19,4
week,nation,norge,2020,0-9,male,2020,17,2020-17,2019/2020,40,2020-04-26,17
week,nation,norge,2020,0-9,male,2020,18,2020-18,2019/2020,41,2020-05-03,4
week,nation,norge,2020,0-9,male,2020,19,2020-19,2019/2020,42,2020-05-10,6
week,nation,norge,2020,0-9,male,2020,20,2020-20,2019/2020,43,2020-05-17,3
week,nation,norge,2020,0-9,male,2020,21,2020-21,2019/2020,44,2020-05-24,2
week,nation,norge,2020,0-9,male,2020,22,2020-22,2019/2020,45,2020-05-31,2
week,nation,norge,2020,0-9,male,2020,23,2020-23,2019/2020,46,2020-06-07,7
week,nation,norge,2020,0-9,male,2020,24,2020-24,2019/2020,47,2020-06-14,5
week,nation,norge,2020,0-9,male,2020,25,2020-25,2019/2020,48,2020-06-21,4
week,nation,norge,2020,0-9,male,2020,26,2020-26,2019/2020,49,2020-06-28,4
week,nation,norge,2020,0-9,male,2020,27,2020-27,2019/2020,50,2020-07-05,6
week,nation,norge,2020,0-9,male,2020,28,2020-28,2019/2020,51,2020-07-12,1
week,nation,norge,2020,0-9,male,2020,29,2020-29,2019/2020,52,2020-07-19,2
week,nation,norge,2020,0-9,male,2020,30,2020-30,2020/2021,1,2020-07-26,2
week,nation,norge,2020,0-9,male,2020,31,2020-31,2020/2021,2,2020-08-02,4
week,nation,norge,2020,0-9,male,2020,32,2020-32,2020/2021,3,2020-08-09,7
week,nation,norge,2020,0-9,male,2020,33,2020-33,2020/2021,4,2020-08-16,5
week,nation,norge,2020,0-9,male,2020,34,2020-34,2020/2021,5,2020-08-23,9
week,nation,norge,2020,0-9,male,2020,35,2020-35,2020/2021,6,2020-08-30,9
week,nation,norge,2020,0-9,male,2020,36,2020-36,2020/2021,7,2020-09-06,21
week,nation,norge,2020,0-9,male,2020,37,2020-37,2020/2021,8,2020-09-13,16
week,nation,norge,2020,0-9,male,2020,38,2020-38,2020/2021,9,2020-09-20,19
week,nation,norge,2020,0-9,male,2020,39,2020-39,2020/2021,10,2020-09-27,16
week,nation,norge,2020,0-9,male,2020,40,2020-40,2020/2021,11,2020-10-04,21
week,nation,norge,2020,0-9,male,2020,41,2020-41,2020/2021,12,2020-10-11,19
week,nation,norge,2020,0-9,male,2020,42,2020-42,2020/2021,13,2020-10-18,19
week,nation,norge,2020,0-9,male,2020,43,2020-43,2020/2021,14,2020-10-25,24
week,nation,norge,2020,0-9,male,2020,44,2020-44,2020/2021,15,2020-11-01,75
week,nation,norge,2020,0-9,male,2020,45,2020-45,2020/2021,16,2020-11-08,125
week,nation,norge,2020,0-9,male,2020,46,2020-46,2020/2021,17,2020-11-15,130
