granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,488181,257939,70,37,697010,Oslo,2021-08-11
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,314055,156289,65.1,32.4,482645,Rogaland,2021-08-11
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,180072,96922,67.8,36.5,265544,Møre og Romsdal,2021-08-11
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,162936,91422,67.8,38,240345,Nordland,2021-08-11
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,869768,464170,69.4,37.1,1252384,Viken,2021-08-11
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,263015,145214,71,39.2,370603,Innlandet,2021-08-11
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,297508,162052,70.5,38.4,421882,Vestfold og Telemark,2021-08-11
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,209200,125273,67.7,40.6,308843,Agder,2021-08-11
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,433166,250383,67.8,39.2,638821,Vestland,2021-08-11
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,330354,166398,70.1,35.3,471124,Trøndelag,2021-08-11
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,162777,88195,67.2,36.4,242168,Troms og Finnmark,2021-08-11
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,488174,257933,70,37,697010,Oslo,2021-08-11
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9691,4978,65.5,33.7,14787,Eigersund,2021-08-11
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,96735,46571,67.1,32.3,144147,Stavanger,2021-08-11
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23465,12514,62.9,33.5,37323,Haugesund,2021-08-11
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,51947,24941,64.6,31,80450,Sandnes,2021-08-11
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2136,1493,65.6,45.8,3257,Sokndal,2021-08-11
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2045,1102,64.4,34.7,3174,Lund,2021-08-11
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1797,1203,64.4,43.1,2791,Bjerkreim,2021-08-11
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11527,5758,60.3,30.1,19120,Hå,2021-08-11
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12068,5811,60.8,29.3,19848,Klepp,2021-08-11
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12247,6018,64.1,31.5,19106,Time,2021-08-11
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7259,3667,60.2,30.4,12064,Gjesdal,2021-08-11
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17521,7676,63.8,28,27457,Sola,2021-08-11
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7374,3337,65.2,29.5,11315,Randaberg,2021-08-11
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8492,3803,65,29.1,13070,Strand,2021-08-11
