granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,542928,490611,147528,77.9,70.4,21.2,697010,Oslo,2021-12-23
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,367422,335827,114215,76.1,69.6,23.7,482645,Rogaland,2021-12-23
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,211903,195739,76364,79.8,73.7,28.8,265544,Møre og Romsdal,2021-12-23
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,193530,178774,69105,80.5,74.4,28.8,240345,Nordland,2021-12-23
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,988430,897709,332662,78.9,71.7,26.6,1252384,Viken,2021-12-23
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,303790,281218,114569,82,75.9,30.9,370603,Innlandet,2021-12-23
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,338929,311778,125119,80.3,73.9,29.7,421882,Vestfold og Telemark,2021-12-23
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,243105,222529,81321,78.7,72.1,26.3,308843,Agder,2021-12-23
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,500563,456523,169545,78.4,71.5,26.5,638821,Vestland,2021-12-23
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,381423,352367,122586,81,74.8,26,471124,Trøndelag,2021-12-23
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191179,176210,66886,78.9,72.8,27.6,242168,Troms og Finnmark,2021-12-23
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,542919,490605,147524,77.9,70.4,21.2,697010,Oslo,2021-12-23
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11731,10820,4515,79.3,73.2,30.5,14787,Eigersund,2021-12-23
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,111743,102074,31047,77.5,70.8,21.5,144147,Stavanger,2021-12-23
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28249,25719,8627,75.7,68.9,23.1,37323,Haugesund,2021-12-23
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59754,55029,19125,74.3,68.4,23.8,80450,Sandnes,2021-12-23
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2458,2265,1173,75.5,69.5,36,3257,Sokndal,2021-12-23
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2383,2231,918,75.1,70.3,28.9,3174,Lund,2021-12-23
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2156,1974,974,77.2,70.7,34.9,2791,Bjerkreim,2021-12-23
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13843,12497,4305,72.4,65.4,22.5,19120,Hå,2021-12-23
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14840,13376,4263,74.8,67.4,21.5,19848,Klepp,2021-12-23
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14455,13161,4514,75.7,68.9,23.6,19106,Time,2021-12-23
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8747,7974,2538,72.5,66.1,21,12064,Gjesdal,2021-12-23
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20909,19058,5628,76.2,69.4,20.5,27457,Sola,2021-12-23
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8929,8097,2542,78.9,71.6,22.5,11315,Randaberg,2021-12-23
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10178,9265,3082,77.9,70.9,23.6,13070,Strand,2021-12-23
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1994,1809,727,77.3,70.1,28.2,2580,Hjelmeland,2021-12-23
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3011,2758,1147,79,72.4,30.1,3809,Suldal,2021-12-23
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3654,3371,1271,80.1,73.9,27.9,4561,Sauda,2021-12-23
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,429,402,195,84.6,79.3,38.5,507,Kvitsøy,2021-12-23
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,700,659,323,81.5,76.7,37.6,859,Bokn,2021-12-23
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8477,7657,3057,75.8,68.5,27.3,11178,Tysvær,2021-12-23
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31923,29323,11945,75.4,69.2,28.2,42345,Karmøy,2021-12-23
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164,161,98,85.4,83.9,51,192,Utsira,2021-12-23
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6688,6141,2196,76.8,70.5,25.2,8705,Vindafjord,2021-12-23
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19578,18118,8059,81.2,75.2,33.4,24099,Kristiansund,2021-12-23
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26172,24289,10080,82.1,76.2,31.6,31870,Molde,2021-12-23
