granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550829,514086,360461,58281,78.7,73.5,51.5,8.3,699827,Oslo,2022-10-19
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372224,345844,254155,54229,76.6,71.2,52.3,11.2,485797,Rogaland,2022-10-19
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214397,201384,155583,35641,80.6,75.8,58.5,13.4,265848,Møre og Romsdal,2022-10-19
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194871,182944,135126,28920,81.1,76.2,56.3,12,240190,Nordland,2022-10-19
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001708,931748,698396,163676,78.9,73.4,55,12.9,1269230,Viken,2022-10-19
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306256,288204,221195,56735,82.5,77.6,59.6,15.3,371253,Innlandet,2022-10-19
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342147,320262,241641,60220,80.5,75.4,56.9,14.2,424832,Vestfold og Telemark,2022-10-19
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245942,228858,169672,38282,79,73.6,54.5,12.3,311134,Agder,2022-10-19
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506114,470597,353412,77527,78.9,73.4,55.1,12.1,641292,Vestland,2022-10-19
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385095,360967,272411,56922,81.2,76.1,57.5,12,474131,Trøndelag,2022-10-19
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191847,179752,128150,23876,79.4,74.4,53,9.9,241736,Troms og Finnmark,2022-10-19
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550821,514079,360457,58280,78.7,73.5,51.5,8.3,699827,Oslo,2022-10-19
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11856,11147,9228,2155,79.8,75,62.1,14.5,14860,Eigersund,2022-10-19
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112852,104963,76388,15974,78,72.5,52.8,11,144699,Stavanger,2022-10-19
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28692,26699,19249,3833,76.6,71.3,51.4,10.2,37444,Haugesund,2022-10-19
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60605,56444,42829,8406,74.5,69.4,52.7,10.3,81305,Sandnes,2022-10-19
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1805,493,76.4,71.8,55,15,3281,Sokndal,2022-10-19
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2416,2280,1792,376,76,71.7,56.4,11.8,3178,Lund,2022-10-19
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2190,2050,1528,486,78.5,73.5,54.8,17.4,2789,Bjerkreim,2022-10-19
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14052,12943,9168,2137,72.8,67.1,47.5,11.1,19296,Hå,2022-10-19
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15113,13916,9323,2126,75,69,46.2,10.5,20163,Klepp,2022-10-19
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14739,13666,9234,2184,76.2,70.6,47.7,11.3,19353,Time,2022-10-19
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8814,8164,6298,1181,72.7,67.3,51.9,9.7,12131,Gjesdal,2022-10-19
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21212,19674,13987,2753,76.9,71.4,50.7,10,27568,Sola,2022-10-19
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9060,8369,6073,1144,79.1,73.1,53,10,11454,Randaberg,2022-10-19
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10305,9517,7157,1322,77.7,71.7,53.9,10,13268,Strand,2022-10-19
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2024,1893,1387,406,79.9,74.7,54.7,16,2534,Hjelmeland,2022-10-19
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3033,2823,2397,703,80.2,74.6,63.3,18.6,3784,Suldal,2022-10-19
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3665,3409,2692,674,81,75.3,59.5,14.9,4525,Sauda,2022-10-19
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,427,401,342,112,81.6,76.7,65.4,21.4,523,Kvitsøy,2022-10-19
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,713,688,516,161,83.4,80.5,60.4,18.8,855,Bokn,2022-10-19
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8570,7826,5567,1299,76,69.4,49.3,11.5,11283,Tysvær,2022-10-19
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32329,30045,22182,5323,76,70.6,52.1,12.5,42541,Karmøy,2022-10-19
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,173,169,155,51,92,89.9,82.4,27.1,188,Utsira,2022-10-19
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6735,6266,4807,925,76.8,71.4,54.8,10.5,8775,Vindafjord,2022-10-19
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19841,18936,14968,4032,82.6,78.9,62.3,16.8,24013,Kristiansund,2022-10-19
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26470,24881,19164,4454,82.7,77.7,59.9,13.9,32002,Molde,2022-10-19
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52942,49423,35922,7133,78.9,73.6,53.5,10.6,67114,Ålesund,2022-10-19
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2538,2442,1962,582,83.3,80.2,64.4,19.1,3045,Vanylven,2022-10-19
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1870,1753,1395,267,77.2,72.4,57.6,11,2422,Sande,2022-10-19
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6940,6498,4915,1044,79.2,74.1,56.1,11.9,8765,Herøy,2022-10-19
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6759,6312,5111,1219,79,73.8,59.7,14.2,8557,Ulstein,2022-10-19
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3858,3624,2861,690,75.3,70.7,55.8,13.5,5126,Hareid,2022-10-19
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8706,8117,6688,1177,80.4,74.9,61.7,10.9,10833,Ørsta,2022-10-19
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3598,3369,2728,732,80.5,75.4,61.1,16.4,4467,Stranda,2022-10-19
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6207,5795,4621,1042,82.1,76.7,61.1,13.8,7558,Sykkylven,2022-10-19
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7402,6855,5539,1112,77.5,71.8,58,11.6,9547,Sula,2022-10-19
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6626,6141,4419,622,77.1,71.4,51.4,7.2,8597,Giske,2022-10-19
