granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,7797,2692,4.71990508129835,1.62959913798322,165194,Oslo,2021-03-09
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,3283,1255,1.98266751215388,0.757918893619591,165585,Oslo,2021-03-09
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,2485,821,5.8418355352861,1.93003902393154,42538,Oslo,2021-03-09
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,1146,491,2.48503773093937,1.06470639257525,46116,Oslo,2021-03-09
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,2467,824,7.26699658300931,2.42724166372099,33948,Oslo,2021-03-09
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,1171,376,3.37765727306816,1.08454238657013,34669,Oslo,2021-03-09
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,1306,734,5.0234633433341,2.82329409954612,25998,Oslo,2021-03-09
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,969,572,4.0084388185654,2.36617853892612,24174,Oslo,2021-03-09
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,7871,3656,51.3605220228385,23.8564437194127,15325,Oslo,2021-03-09
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,5937,2597,48.516793331699,21.222521859933,12237,Oslo,2021-03-09
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6540,5742,84.5944897167249,74.2724097788126,7731,Oslo,2021-03-09
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,3113,2741,85.946990612921,75.6764218663722,3622,Oslo,2021-03-09
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,5328,1507,5.85327269131896,1.65557093577659,91026,Rogaland,2021-03-09
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,1250,475,1.28639203054409,0.488828971606755,97171,Rogaland,2021-03-09
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,2420,767,7.61844797733354,2.41460727215489,31765,Rogaland,2021-03-09
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,572,228,1.68527739312336,0.671753925930291,33941,Rogaland,2021-03-09
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,2256,675,8.44532624564819,2.52685958147718,26713,Rogaland,2021-03-09
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,466,197,1.6570067204779,0.700494257369413,28123,Rogaland,2021-03-09
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,463,298,2.20224505327245,1.41742770167428,21024,Rogaland,2021-03-09
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,374,279,1.76306981567906,1.31523122613492,21213,Rogaland,2021-03-09
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,4081,2466,32.800192895033,19.8199646359106,12442,Rogaland,2021-03-09
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,3230,1894,30.3144063819803,17.7756921633036,10655,Rogaland,2021-03-09
total,county,county11,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,4962,4473,86.8545422720112,78.2951164011903,5713,Rogaland,2021-03-09
total,county,county11,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,2861,2550,90.3949447077409,80.5687203791469,3165,Rogaland,2021-03-09
total,county,county15,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,3721,910,8.25586297175567,2.01903663109316,45071,Møre og Romsdal,2021-03-09
total,county,county15,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,899,265,1.81557476371274,0.535180547701753,49516,Møre og Romsdal,2021-03-09
total,county,county15,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,2019,550,11.7438343415542,3.1991624011168,17192,Møre og Romsdal,2021-03-09
total,county,county15,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,476,169,2.54858917385019,0.904856240295551,18677,Møre og Romsdal,2021-03-09
total,county,county15,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,1972,515,12.2636815920398,3.20273631840796,16080,Møre og Romsdal,2021-03-09
total,county,county15,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,456,173,2.67370272647318,1.01436528877162,17055,Møre og Romsdal,2021-03-09
total,county,county15,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,384,267,2.60533279055567,1.81152045593324,14739,Møre og Romsdal,2021-03-09
total,county,county15,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,241,181,1.5944426066821,1.19748594111809,15115,Møre og Romsdal,2021-03-09
total,county,county15,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,2308,1221,26.2362168921223,13.879731726725,8797,Møre og Romsdal,2021-03-09
total,county,county15,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,1780,903,22.6060452120904,11.4681229362459,7874,Møre og Romsdal,2021-03-09
total,county,county15,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,3863,3346,84.1795598169536,72.9134887775114,4589,Møre og Romsdal,2021-03-09
total,county,county15,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,2194,1912,86.1067503924647,75.0392464678179,2548,Møre og Romsdal,2021-03-09
total,county,county18,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,3387,975,8.46326836581709,2.43628185907046,40020,Nordland,2021-03-09
total,county,county18,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,894,286,2.05479452054795,0.657350372345316,43508,Nordland,2021-03-09
total,county,county18,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,1883,646,11.673899566026,4.00495970241786,16130,Nordland,2021-03-09
total,county,county18,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,510,172,3.06951549804394,1.03520914835992,16615,Nordland,2021-03-09
total,county,county18,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,1752,559,11.1784597715817,3.56664327186882,15673,Nordland,2021-03-09
total,county,county18,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,502,193,3.09494451294698,1.18988902589396,16220,Nordland,2021-03-09
total,county,county18,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,526,327,3.79427252398471,2.35879679723004,13863,Nordland,2021-03-09
total,county,county18,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,341,244,2.36641221374046,1.69326856349757,14410,Nordland,2021-03-09
total,county,county18,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,3436,2189,39.3179997711409,25.0486325666552,8739,Nordland,2021-03-09
total,county,county18,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,2910,1863,36.1805296531145,23.1629988810145,8043,Nordland,2021-03-09
total,county,county18,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,3263,2816,80.5082654823587,69.4793979768073,4053,Nordland,2021-03-09
total,county,county18,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,1869,1652,84.6084200995926,74.7849705749208,2209,Nordland,2021-03-09
total,county,county30,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,15675,4606,7.17227179135209,2.10752688172043,218550,Viken,2021-03-09
total,county,county30,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,4223,1314,1.8429861350534,0.57345104936305,229139,Viken,2021-03-09
total,county,county30,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,8403,2557,9.17538380904545,2.79203336900264,91582,Viken,2021-03-09
total,county,county30,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,2169,768,2.27955859169732,0.807146610614819,95150,Viken,2021-03-09
total,county,county30,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,7360,2212,9.58233517341944,2.87990834288095,76808,Viken,2021-03-09
total,county,county30,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,1964,625,2.47205719464304,0.786678078743329,79448,Viken,2021-03-09
total,county,county30,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,1747,1015,2.72789731738547,1.58489741107398,64042,Viken,2021-03-09
total,county,county30,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,1164,708,1.90607191982708,1.15936333267833,61068,Viken,2021-03-09
total,county,county30,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14925,6506,37.602983044015,16.3916253054849,39691,Viken,2021-03-09
total,county,county30,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11535,4742,34.8100310830793,14.3102875939282,33137,Viken,2021-03-09
total,county,county30,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,14320,11697,86.5622922081847,70.7066432932358,16543,Viken,2021-03-09
total,county,county30,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,8244,6707,88.3790737564322,71.9018010291595,9328,Viken,2021-03-09
total,county,county34,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,4941,1574,8.28818250440325,2.64027509854902,59615,Innlandet,2021-03-09
total,county,county34,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,1182,388,1.85875359720715,0.610149234954632,63591,Innlandet,2021-03-09
total,county,county34,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,2804,881,10.7223433138312,3.36889602692058,26151,Innlandet,2021-03-09
total,county,county34,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,620,208,2.32758944325562,0.780868716447047,26637,Innlandet,2021-03-09
total,county,county34,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,2604,788,10.3043013731154,3.1181987258122,25271,Innlandet,2021-03-09
total,county,county34,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,591,224,2.32265671055217,0.880330123796424,25445,Innlandet,2021-03-09
total,county,county34,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,744,500,3.16568802655093,2.12747851246702,23502,Innlandet,2021-03-09
total,county,county34,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,525,397,2.28648578023605,1.72901877095945,22961,Innlandet,2021-03-09
