granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,pr100_dose_1,pr100_dose_2,pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,8721,210,,64.5904310472523,1.55532513701674,,13502,Oslo,2021-12-07
total,county,county03,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5662,3547,,89.0251572327044,55.7704402515723,,6360,Oslo,2021-12-07
total,county,county03,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,30024,26113,498,96.0276338514681,83.5188383547624,1.5927844943389,31266,Oslo,2021-12-07
total,county,county03,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,91465,83980,3285,88.2653799758746,81.0422195416164,3.17008443908323,103625,Oslo,2021-12-07
total,county,county03,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21862,20158,1011,91.3085244121455,84.1916217683666,4.22252850519985,23943,Oslo,2021-12-07
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,39746,37393,2166,93.436456815083,87.9049320607457,5.09191781465983,42538,Oslo,2021-12-07
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,32259,31138,2714,95.0247437256981,91.7226346176505,7.99457994579946,33948,Oslo,2021-12-07
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24714,24316,16712,95.0611585506577,93.5302715593507,64.2818678359874,25998,Oslo,2021-12-07
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14836,14870,13011,96.8091353996737,97.0309951060359,84.9004893964111,15325,Oslo,2021-12-07
total,county,county03,2020,85+,female,1900,1,1900-01,1899/1900,24,1900-01-01,7057,6981,5644,91.2818522830164,90.2987970508343,73.0047859267883,7731,Oslo,2021-12-07
total,county,county03,2020,12-15,male,1900,1,1900-01,1899/1900,24,1900-01-01,8942,197,,64.2431209138588,1.41533156117537,,13919,Oslo,2021-12-07
total,county,county03,2020,16-17,male,1900,1,1900-01,1899/1900,24,1900-01-01,5535,3410,,84.1569104454919,51.8473468146571,,6577,Oslo,2021-12-07
total,county,county03,2020,18-24,male,1900,1,1900-01,1899/1900,24,1900-01-01,25037,21303,131,89.0046214006399,75.7305367934589,0.465694987557768,28130,Oslo,2021-12-07
total,county,county03,2020,25-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,89706,81947,1622,85.9269334661584,78.4947987509339,1.55366961052894,104398,Oslo,2021-12-07
total,county,county03,2020,40-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,22694,20847,588,85.702416918429,78.7273413897281,2.22054380664653,26480,Oslo,2021-12-07
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,41353,38872,1282,89.6716974585827,84.2917859311302,2.77994622256917,46116,Oslo,2021-12-07
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,32362,30949,1692,93.3456401972944,89.2699529839338,4.88044073956561,34669,Oslo,2021-12-07
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22770,22390,15263,94.1921072226359,92.6201704310416,63.1380822371143,24174,Oslo,2021-12-07
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,12001,12127,10835,98.0714227343303,99.1010868676963,88.5429435319114,12237,Oslo,2021-12-07
total,county,county03,2020,85+,male,1900,1,1900-01,1899/1900,24,1900-01-01,3320,3291,2836,91.6620651573716,90.8614025400331,78.29928216455,3622,Oslo,2021-12-07
total,county,county11,2020,12-15,female,1900,1,1900-01,1899/1900,24,1900-01-01,9264,268,,74.0290874220873,2.1416014064248,,12514,Rogaland,2021-12-07
total,county,county11,2020,16-17,female,1900,1,1900-01,1899/1900,24,1900-01-01,5612,4576,,94.3193277310924,76.9075630252101,,5950,Rogaland,2021-12-07
total,county,county11,2020,18-24,female,1900,1,1900-01,1899/1900,24,1900-01-01,18248,17049,470,90.381376919267,84.44279346211,2.32788509162952,20190,Rogaland,2021-12-07
total,county,county11,2020,25-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,41431,38854,2109,84.5789527406349,79.3181586199857,4.30539961212616,48985,Rogaland,2021-12-07
total,county,county11,2020,40-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14569,13994,1050,91.6231683541916,88.0070435821646,6.6033582793535,15901,Rogaland,2021-12-07
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,29435,28502,2313,92.6648827325673,89.7276877065953,7.28159924445144,31765,Rogaland,2021-12-07
