granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3,n_dose_4,pr100_dose_1,pr100_dose_2,pr100_dose_3,pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9045,938,,,65.6005221932115,6.80301711633304,,,13788,Oslo,2022-08-12
total,county,county03,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5699,4565,,,87.18066391311,69.8332568456479,,,6537,Oslo,2022-08-12
total,county,county03,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,30089,28308,13535,18,95,90.4669074174683,43.2552491131635,0.0575245278195008,31291,Oslo,2022-08-12
total,county,county03,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,93192,89166,55134,190,89.795918367347,85.9166329421287,53.1248193328323,0.183076063286504,103782,Oslo,2022-08-12
total,county,county03,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,21888,21105,14110,77,90.8479641389615,87.5980575270826,58.5647283443324,0.319594903083883,24093,Oslo,2022-08-12
total,county,county03,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,40071,39194,31037,245,93.5866595044025,91.5384076418245,72.4875633510055,0.572202629796576,42817,Oslo,2022-08-12
total,county,county03,2020,055_064,female,1900,1,1900-01,1899/1900,24,1900-01-01,32491,32043,28662,404,94.6900591612508,93.3844315565529,83.5310232273482,1.17739632209367,34313,Oslo,2022-08-12
total,county,county03,2020,065_074,female,1900,1,1900-01,1899/1900,24,1900-01-01,24779,24549,22759,669,95,95,88.2097593116546,2.59292275493198,25801,Oslo,2022-08-12
total,county,county03,2020,075_079,female,1900,1,1900-01,1899/1900,24,1900-01-01,10021,9938,9307,2891,95,95,90.6673161227472,28.1636629322942,10265,Oslo,2022-08-12
total,county,county03,2020,080_084,female,1900,1,1900-01,1899/1900,24,1900-01-01,5937,5889,5450,2758,95,95,90.0677573954718,45.579243100314,6051,Oslo,2022-08-12
total,county,county03,2020,085p,female,1900,1,1900-01,1899/1900,24,1900-01-01,7936,7808,6727,3226,95,95,88.9109172614327,42.6381178958499,7566,Oslo,2022-08-12
total,county,county03,2020,012_015,male,1900,1,1900-01,1899/1900,24,1900-01-01,9318,929,,,65.0562033093626,6.48607135376667,,,14323,Oslo,2022-08-12
total,county,county03,2020,016_017,male,1900,1,1900-01,1899/1900,24,1900-01-01,5439,4161,,,81.9867350015074,62.7223394633705,,,6634,Oslo,2022-08-12
total,county,county03,2020,018_024,male,1900,1,1900-01,1899/1900,24,1900-01-01,25896,23674,9310,13,91.0324463036524,83.2214293247091,32.7275283861216,0.0456990192287412,28447,Oslo,2022-08-12
total,county,county03,2020,025_039,male,1900,1,1900-01,1899/1900,24,1900-01-01,90484,86172,50064,139,86.6339856765348,82.5054574700318,47.933820994983,0.13308567270499,104444,Oslo,2022-08-12
total,county,county03,2020,040_044,male,1900,1,1900-01,1899/1900,24,1900-01-01,22560,21784,14761,82,85.7762062279001,82.8257480704156,56.1233413178206,0.311775217672332,26301,Oslo,2022-08-12
total,county,county03,2020,045_054,male,1900,1,1900-01,1899/1900,24,1900-01-01,41547,40573,32153,219,89.6375404530745,87.5361380798274,69.3700107874865,0.472491909385113,46350,Oslo,2022-08-12
total,county,county03,2020,055_064,male,1900,1,1900-01,1899/1900,24,1900-01-01,32863,32366,28546,328,92.9462341261985,91.5405718810985,80.7364878241932,0.927680515880872,35357,Oslo,2022-08-12
total,county,county03,2020,065_074,male,1900,1,1900-01,1899/1900,24,1900-01-01,22875,22685,20890,552,95,94.8805888995776,87.3729557907064,2.30875402568071,23909,Oslo,2022-08-12
total,county,county03,2020,075_079,male,1900,1,1900-01,1899/1900,24,1900-01-01,8754,8693,8132,2430,95,95,91.7108379384234,27.4049847750085,8867,Oslo,2022-08-12
total,county,county03,2020,080_084,male,1900,1,1900-01,1899/1900,24,1900-01-01,4442,4401,4087,2209,95,95,92.2990063233966,49.8870822041554,4428,Oslo,2022-08-12
total,county,county03,2020,085p,male,1900,1,1900-01,1899/1900,24,1900-01-01,3876,3824,3260,1714,95,95,89.8566703417861,47.2436604189636,3628,Oslo,2022-08-12
total,county,county11,2020,012_015,female,1900,1,1900-01,1899/1900,24,1900-01-01,9423,877,,,73.462228112575,6.83714040695408,,,12827,Rogaland,2022-08-12
total,county,county11,2020,016_017,female,1900,1,1900-01,1899/1900,24,1900-01-01,5365,5180,,,90.3959561920809,87.2788542544229,,,5935,Rogaland,2022-08-12
total,county,county11,2020,018_024,female,1900,1,1900-01,1899/1900,24,1900-01-01,18591,17861,9929,18,92.4005964214712,88.772365805169,49.3489065606362,0.0894632206759443,20120,Rogaland,2022-08-12
total,county,county11,2020,025_039,female,1900,1,1900-01,1899/1900,24,1900-01-01,42855,41299,24132,107,87.8176229508197,84.6290983606558,49.4508196721312,0.219262295081967,48800,Rogaland,2022-08-12
total,county,county11,2020,040_044,female,1900,1,1900-01,1899/1900,24,1900-01-01,14751,14373,10455,118,90.7530454042082,88.4274640088594,64.3226282761167,0.725975144579796,16254,Rogaland,2022-08-12
total,county,county11,2020,045_054,female,1900,1,1900-01,1899/1900,24,1900-01-01,29582,29178,24636,318,93.1687190954616,91.8963182261976,77.5912569682845,1.00154325848005,31751,Rogaland,2022-08-12
