granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,cum_n_dose_1,cum_n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-18,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-19,0,0,0,0,0,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,2,0,2,0,0.000288394708533888,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-21,0,0,2,0,0.000288394708533888,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-22,3,0,5,0,0.00072098677133472,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-23,4,0,9,0,0.0012977761884025,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-24,3,0,12,0,0.00173036825120333,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-25,0,0,12,0,0.00173036825120333,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-26,0,0,12,0,0.00173036825120333,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,7,0,19,0,0.00273974973107193,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,265,0,284,0,0.0409520486118121,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,120,0,404,0,0.0582557311238453,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,63,0,467,0,0.0673401644426628,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,8,0,475,0,0.0684937432767984,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,8,0,483,0,0.0696473221109339,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,3,0,486,0,0.0700799141737347,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,3,0,489,0,0.0705125062365356,0,693494,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,4,0,493,0,0.0707306925295189,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,483,0,976,0,0.140026685413409,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,606,0,1582,0,0.226969483938538,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,975,0,2557,0,0.366852699387383,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,452,0,3009,0,0.431701123369823,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,133,0,3142,0,0.450782628656691,0,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,105,1,3247,1,0.465846974935797,0.000143469964562919,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,86,0,3333,1,0.478185391888208,0.000143469964562919,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,248,1,3581,2,0.513765943099812,0.000286939929125838,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,504,2,4085,4,0.586074805239523,0.000573879858251675,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-14,1245,1,5330,5,0.764694911120357,0.000717349822814594,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-15,1651,2,6981,7,1.00156382261374,0.00100428975194043,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-16,653,1,7634,8,1.09524970947332,0.00114775971650335,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,285,6,7919,14,1.13613864937375,0.00200857950388086,697010,Oslo,2021-07-09
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-18,763,231,8682,245,1.24560623233526,0.0351501413179151,697010,Oslo,2021-07-09
